22:27:22
1000
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
2.62|420:309|254:70
2.63|420:309|254:70
2.64|420:299|254:69
2.65|420:299|254:69
2.66|414:419|254:69
2.67|414:419|254:69
2.68|414:419|254:70
2.69|414:419|254:70
2.7|412:401|254:70
2.71|412:401|254:70
2.72|412:401|254:70
2.73|412:401|254:70
2.74|412:401|254:70
2.75|412:401|254:70
2.76|404:372|255:70
2.77|404:372|255:70
2.78|404:372|253:69
2.79|404:372|253:69
2.8|400:356|254:70
2.81|400:356|254:70
2.82|405:359|254:70
2.83|405:359|254:70
2.84|397:335|254:70
2.85|397:335|254:70
2.86|395:326|254:70
2.87|395:326|254:70
2.88|395:326|254:70
2.89|395:326|254:70
2.9|397:325|254:70
2.91|397:325|254:70
2.92|394:320|271:67
2.93|394:320|271:67
2.94|393:313|255:70
2.95|393:313|255:70
2.96|395:324|255:70
2.97|395:324|255:70
2.98|395:324|255:70
2.99|395:324|255:70
3|387:305|267:66
3.01|387:305|267:66
3.02|387:304|267:66
3.03|387:304|267:66
3.04|383:298|248:71
3.05|383:298|248:71
3.06|383:298|248:71
3.07|377:287|255:70
3.08|377:287|255:70
3.09|373:288|255:70
3.1|373:288|255:70
3.11|367:279|255:70
3.12|367:279|255:70
3.13|367:279|255:70
3.14|367:276|255:70
3.15|367:276|255:70
3.16|360:259|255:70
3.17|360:259|255:70
3.18|360:259|255:70
3.19|360:259|255:70
3.2|357:257|255:70
3.21|357:257|255:70
3.22|351:246|244:72
3.23|351:246|244:72
3.24|350:243|244:72
3.25|350:243|244:72
3.26|344:232|244:72
3.27|344:232|244:72
3.28|344:232|244:72
3.29|344:232|244:72
3.3|344:232|244:72
3.31|335:225|244:72
3.32|335:225|244:72
3.33|335:225|244:72
3.34|335:225|244:72
3.35|332:214|282:63
3.36|332:214|282:63
3.37|330:206|282:63
3.38|330:206|282:63
3.39|330:206|282:63
3.4|331:196|282:63
3.41|331:196|282:63
3.42|330:191|282:63
3.43|330:191|282:63
3.44|330:191|282:63
3.45|330:191|282:63
3.46|328:183|282:63
3.47|328:183|282:63
3.48|328:174|282:68
3.49|328:174|282:68
3.5|325:169|274:64
3.51|325:169|274:64
3.52|322:164|274:64
3.53|322:164|274:64
3.54|320:159|274:64
3.55|320:159|274:64
3.56|320:159|274:64
3.57|317:158|274:64
3.58|317:158|274:64
3.59|317:158|274:64
3.6|317:158|274:64
3.61|316:154|274:64
3.62|316:154|274:64
3.63|317:149|220:124
3.64|317:149|220:124
3.65|317:147|220:124
3.66|317:147|220:124
3.67|317:147|220:124
3.68|313:149|220:124
3.69|313:149|220:124
3.7|314:146|220:124
3.71|314:146|220:124
3.72|313:148|220:124
3.73|313:148|220:124
3.74|313:148|220:124
3.75|313:148|220:124
3.76|317:141|220:124
3.77|317:141|220:124
3.78|314:144|220:124
3.79|314:144|220:124
3.8|316:140|220:124
3.81|316:140|220:124
3.82|316:137|220:124
3.83|316:137|220:124
3.84|316:137|220:124
3.85|316:137|220:124
3.86|314:129|220:124
3.87|314:129|220:124
3.88|314:129|220:124
3.89|314:129|220:124
3.9|315:123|172:177
3.91|315:123|172:177
3.92|316:118|172:177
3.93|316:118|172:177
3.94|312:123|172:177
3.95|312:123|172:177
3.96|314:117|172:177
3.97|314:117|172:177
3.98|314:112|172:177
3.99|314:112|172:177
4|312:111|172:177
4.01|312:111|172:177
4.02|312:111|220:124
4.03|312:111|220:124
4.04|312:111|220:124
4.05|311:110|220:124
4.06|311:110|220:124
4.07|312:104|220:124
4.08|312:104|220:124
4.09|312:104|220:124
4.1|309:104|220:124
4.11|309:104|220:124
4.12|312:102|220:124
4.13|312:102|220:124
4.14|311:104|220:124
4.15|311:104|220:124
4.16|311:105|220:124
4.17|311:105|220:124
4.18|311:105|220:124
4.19|310:107|220:124
4.2|310:107|220:124
4.21|310:108|220:124
4.22|310:108|220:124
4.23|310:108|220:124
4.24|310:108|220:124
4.25|311:108|220:124
4.26|311:108|220:124
4.27|312:108|224:225
4.28|312:108|224:225
4.29|315:108|220:224
4.3|315:108|220:224
4.31|318:109|214:217
4.32|318:109|214:217
4.33|321:110|204:208
4.34|321:110|204:208
4.35|325:110|195:200
4.36|325:110|195:200
4.37|325:110|195:200
4.38|325:110|195:200
4.39|325:110|195:200
4.4|326:113|187:191
4.41|326:113|187:191
4.42|330:111|185:183
4.43|330:111|185:183
4.44|330:113|185:174
4.45|330:113|185:174
4.46|332:113|180:166
4.47|332:113|180:166
4.48|332:113|180:166
4.49|332:113|180:166
4.5|331:115|175:153
4.51|331:115|175:153
4.52|331:115|170:151
4.53|331:115|170:151
4.54|330:113|166:143
4.55|330:113|166:143
4.56|329:112|162:137
4.57|329:112|162:137
4.58|327:112|160:132
4.59|327:112|160:132
4.6|326:110|159:128
4.61|326:110|159:128
4.62|326:110|159:128
4.63|326:110|159:128
4.64|326:110|159:128
4.65|325:110|159:125
4.66|325:110|159:125
4.67|324:108|158:122
4.68|324:108|158:122
4.69|324:108|158:122
4.7|326:106|157:120
4.71|326:106|157:120
4.72|326:105|156:118
4.73|326:105|156:118
4.74|326:105|156:118
4.75|326:105|156:118
4.76|323:106|154:116
4.77|323:106|154:116
4.78|323:106|154:116
4.79|323:106|154:116
4.8|322:107|154:114
4.81|322:107|154:114
4.82|323:105|154:113
4.83|323:105|154:113
4.84|322:106|154:113
4.85|322:106|154:113
4.86|322:106|154:113
4.87|322:106|154:113
4.88|318:111|159:117
4.89|318:111|159:117
4.9|318:111|159:117
4.91|318:111|159:117
4.92|318:118|163:123
4.93|318:118|163:123
4.94|320:127|164:130
4.95|320:127|164:130
4.96|321:140|165:138
4.97|321:140|165:138
4.98|322:150|165:147
4.99|322:150|165:147
5|322:150|165:147
5.01|322:150|165:147
5.02|322:164|164:156
5.03|322:164|164:156
5.04|323:175|163:165
5.05|323:175|163:165
5.06|323:187|157:174
5.07|323:187|157:174
5.08|322:199|151:185
5.09|322:199|151:185
5.1|321:211|153:194
5.11|321:211|153:194
5.12|322:222|158:204
5.13|322:222|158:204
5.14|322:222|158:204
5.15|322:222|158:204
5.16|322:222|158:204
5.17|324:243|155:221
5.18|324:243|155:221
5.19|324:243|153:222
5.2|324:243|153:222
5.21|321:258|151:231
5.22|321:258|151:231
5.23|321:269|152:240
5.24|321:269|152:240
5.25|318:283|155:249
5.26|318:283|155:249
