19:18:33
1.14  -  x: 487, y: 446  |  x: 487, y: 446
1.15  -  x: 490, y: 443  |  x: 490, y: 443
1.16  -  x: 490, y: 443  |  x: 490, y: 443
1.17  -  x: 490, y: 443  |  x: 490, y: 443
1.18  -  x: 494, y: 440  |  x: 494, y: 440
1.19  -  x: 494, y: 440  |  x: 494, y: 440
1.2  -  x: 494, y: 440  |  x: 494, y: 440
1.21  -  x: 494, y: 442  |  x: 494, y: 442
1.22  -  x: 494, y: 442  |  x: 494, y: 442
1.23  -  x: 494, y: 442  |  x: 494, y: 442
1.24  -  x: 489, y: 444  |  x: 489, y: 444
1.25  -  x: 489, y: 444  |  x: 489, y: 444
1.26  -  x: 489, y: 444  |  x: 489, y: 444
1.27  -  x: 489, y: 444  |  x: 489, y: 444
1.28  -  x: 489, y: 444  |  x: 489, y: 444
1.29  -  x: 489, y: 444  |  x: 489, y: 444
1.3  -  x: 490, y: 443  |  x: 490, y: 443
1.31  -  x: 490, y: 443  |  x: 490, y: 443
1.32  -  x: 490, y: 443  |  x: 490, y: 443
1.33  -  x: 492, y: 443  |  x: 492, y: 443
1.34  -  x: 492, y: 443  |  x: 492, y: 443
1.35  -  x: 492, y: 443  |  x: 492, y: 443
1.36  -  x: 501, y: 435  |  x: 501, y: 435
1.37  -  x: 501, y: 435  |  x: 501, y: 435
1.38  -  x: 502, y: 435  |  x: 502, y: 435
1.39  -  x: 502, y: 435  |  x: 502, y: 435
1.4  -  x: 502, y: 435  |  x: 502, y: 435
1.41  -  x: 502, y: 435  |  x: 502, y: 435
1.42  -  x: 489, y: 444  |  x: 489, y: 444
1.43  -  x: 489, y: 444  |  x: 489, y: 444
1.44  -  x: 489, y: 444  |  x: 489, y: 444
1.45  -  x: 499, y: 435  |  x: 499, y: 435
1.46  -  x: 499, y: 435  |  x: 499, y: 435
1.47  -  x: 499, y: 435  |  x: 499, y: 435
1.48  -  x: 506, y: 429  |  x: 506, y: 429
1.49  -  x: 506, y: 429  |  x: 506, y: 429
1.5  -  x: 506, y: 429  |  x: 506, y: 429
1.51  -  x: 498, y: 436  |  x: 498, y: 436
1.52  -  x: 498, y: 436  |  x: 498, y: 436
1.53  -  x: 498, y: 436  |  x: 498, y: 436
1.54  -  x: 496, y: 438  |  x: 496, y: 438
1.55  -  x: 496, y: 438  |  x: 496, y: 438
1.56  -  x: 496, y: 438  |  x: 496, y: 438
1.57  -  x: 512, y: 422  |  x: 512, y: 422
1.58  -  x: 512, y: 422  |  x: 512, y: 422
1.59  -  x: 512, y: 422  |  x: 512, y: 422
1.6  -  x: 508, y: 426  |  x: 508, y: 426
1.61  -  x: 508, y: 426  |  x: 508, y: 426
1.62  -  x: 508, y: 426  |  x: 508, y: 426
1.63  -  x: 508, y: 426  |  x: 508, y: 426
1.64  -  x: 508, y: 426  |  x: 508, y: 426
1.65  -  x: 508, y: 426  |  x: 508, y: 426
1.66  -  x: 504, y: 435  |  x: 504, y: 435
