19:49:49
Time [s]    Obiekt 1       Obiekt 2
1.13  -  x: 497, y: 437  |  x: 497, y: 437
1.14  -  x: 497, y: 437  |  x: 497, y: 437
1.15  -  x: 497, y: 437  |  x: 497, y: 437
1.16  -  x: 497, y: 437  |  x: 497, y: 437
1.17  -  x: 499, y: 436  |  x: 499, y: 436
1.18  -  x: 499, y: 436  |  x: 499, y: 436
1.19  -  x: 499, y: 436  |  x: 499, y: 436
1.2  -  x: 499, y: 435  |  x: 499, y: 435
1.21  -  x: 499, y: 435  |  x: 499, y: 435
1.22  -  x: 499, y: 435  |  x: 499, y: 435
1.23  -  x: 506, y: 430  |  x: 506, y: 430
1.24  -  x: 506, y: 430  |  x: 506, y: 430
1.25  -  x: 506, y: 430  |  x: 506, y: 430
1.26  -  x: 506, y: 430  |  x: 506, y: 430
1.27  -  x: 506, y: 430  |  x: 506, y: 430
1.28  -  x: 506, y: 430  |  x: 506, y: 430
1.29  -  x: 503, y: 431  |  x: 503, y: 431
1.3  -  x: 503, y: 431  |  x: 503, y: 431
1.31  -  x: 503, y: 431  |  x: 503, y: 431
1.32  -  x: 507, y: 432  |  x: 507, y: 432
1.33  -  x: 507, y: 432  |  x: 507, y: 432
1.34  -  x: 507, y: 432  |  x: 507, y: 432
1.35  -  x: 504, y: 430  |  x: 504, y: 430
1.36  -  x: 504, y: 430  |  x: 504, y: 430
1.37  -  x: 504, y: 430  |  x: 504, y: 430
1.38  -  x: 504, y: 430  |  x: 504, y: 430
1.39  -  x: 504, y: 430  |  x: 504, y: 430
1.4  -  x: 506, y: 429  |  x: 506, y: 429
1.41  -  x: 506, y: 429  |  x: 506, y: 429
1.42  -  x: 506, y: 429  |  x: 506, y: 429
1.43  -  x: 504, y: 436  |  x: 504, y: 436
1.44  -  x: 504, y: 436  |  x: 504, y: 436
1.45  -  x: 504, y: 436  |  x: 504, y: 436
1.46  -  x: 504, y: 436  |  x: 504, y: 436
1.47  -  x: 504, y: 436  |  x: 504, y: 436
1.48  -  x: 504, y: 436  |  x: 504, y: 436
1.49  -  x: 504, y: 436  |  x: 504, y: 436
1.5  -  x: 504, y: 436  |  x: 504, y: 436
1.51  -  x: 504, y: 436  |  x: 504, y: 436
1.52  -  x: 504, y: 436  |  x: 504, y: 436
1.53  -  x: 508, y: 430  |  x: 508, y: 430
1.54  -  x: 508, y: 430  |  x: 508, y: 430
1.55  -  x: 508, y: 430  |  x: 508, y: 430
1.56  -  x: 508, y: 430  |  x: 508, y: 430
1.57  -  x: 508, y: 430  |  x: 508, y: 430
1.58  -  x: 508, y: 430  |  x: 508, y: 430
1.59  -  x: 508, y: 429  |  x: 508, y: 429
1.6  -  x: 508, y: 429  |  x: 508, y: 429
1.61  -  x: 508, y: 429  |  x: 508, y: 429
1.62  -  x: 508, y: 429  |  x: 508, y: 429
1.63  -  x: 508, y: 429  |  x: 508, y: 429
1.64  -  x: 508, y: 429  |  x: 508, y: 429
1.65  -  x: 508, y: 436  |  x: 508, y: 436
1.66  -  x: 508, y: 436  |  x: 508, y: 436
1.67  -  x: 508, y: 436  |  x: 508, y: 436
1.68  -  x: 508, y: 432  |  x: 508, y: 432
1.69  -  x: 508, y: 432  |  x: 508, y: 432
1.7  -  x: 508, y: 432  |  x: 508, y: 432
1.71  -  x: 509, y: 431  |  x: 509, y: 431
1.72  -  x: 509, y: 431  |  x: 509, y: 431
1.73  -  x: 509, y: 431  |  x: 509, y: 431
1.74  -  x: 508, y: 432  |  x: 508, y: 432
1.75  -  x: 508, y: 432  |  x: 508, y: 432
1.76  -  x: 508, y: 432  |  x: 508, y: 432
1.77  -  x: 510, y: 433  |  x: 510, y: 433
1.78  -  x: 510, y: 433  |  x: 510, y: 433
1.79  -  x: 510, y: 437  |  x: 510, y: 437
1.8  -  x: 510, y: 437  |  x: 510, y: 437
1.81  -  x: 510, y: 437  |  x: 510, y: 437
1.82  -  x: 510, y: 435  |  x: 510, y: 435
1.83  -  x: 510, y: 435  |  x: 510, y: 435
1.84  -  x: 510, y: 435  |  x: 510, y: 435
1.85  -  x: 510, y: 435  |  x: 510, y: 435
1.86  -  x: 510, y: 435  |  x: 510, y: 435
1.87  -  x: 510, y: 435  |  x: 510, y: 435
1.88  -  x: 511, y: 435  |  x: 511, y: 435
1.89  -  x: 511, y: 435  |  x: 511, y: 435
