18:30:51
600
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
0|304:354|288:200
0.1|303:357|288:200
0.2|302:365|288:200
0.3|304:374|288:200
0.4|304:378|288:200
0.5|305:391|288:200
0.6|304:390|288:200
0.7|304:387|288:200
0.8|304:371|288:200
0.9|303:361|288:200
1|301:340|288:200
1.1|304:313|288:200
1.2|305:293|288:200
1.3|306:265|288:200
1.4|304:236|288:200
1.5|300:213|288:200
1.6|298:191|288:200
1.7|298:176|288:200
1.8|299:155|288:200
1.9|299:143|288:200
2|296:140|288:200
2.1|298:142|288:200
2.2|300:158|288:200
2.3|301:187|288:200
2.4|301:206|288:200
2.5|300:233|288:200
2.6|297:263|288:200
2.7|302:283|288:200
2.8|301:302|288:200
2.9|301:320|288:200
3|304:347|288:200
3.1|309:370|288:200
3.2|311:382|288:200
3.3|316:395|288:200
3.4|316:409|288:200
3.5|317:422|288:200
3.6|318:429|288:200
3.7|318:425|288:200
3.8|318:414|288:200
3.9|319:409|288:200
4|320:395|288:200
4.1|321:383|288:200
4.2|317:357|288:200
4.3|317:325|288:200
4.4|315:305|288:200
4.5|309:272|288:200
4.6|314:249|288:200
4.7|316:218|288:200
4.8|319:202|288:200
4.9|321:183|288:200
5|323:164|288:200
5.1|322:150|288:200
5.2|322:142|288:200
5.3|322:136|288:200
5.4|326:141|288:200
5.5|326:162|288:200
5.6|323:174|288:200
5.7|319:199|288:200
5.8|318:217|288:200
5.9|321:244|288:200
6|322:264|288:200
6.1|318:295|288:200
6.2|318:320|288:200
6.3|316:336|288:200
6.4|316:353|288:200
6.5|318:370|288:200
6.6|321:398|288:200
6.7|323:421|288:200
6.8|325:431|288:200
6.9|324:436|288:200
7|324:432|288:200
7.1|322:418|288:200
7.2|318:404|288:200
7.3|317:379|288:200
7.4|319:350|288:200
7.5|319:331|288:200
7.6|321:315|288:200
7.7|320:299|288:200
7.8|321:263|288:200
7.9|316:232|288:200
8|315:217|288:200
8.1|315:193|288:200
8.2|314:176|288:200
8.3|313:158|288:200
8.4|312:143|288:200
8.5|309:128|288:200
8.6|309:132|288:200
8.7|314:136|288:200
8.8|314:145|288:200
8.9|318:163|288:200
9|318:191|288:200
9.1|317:211|288:200
9.2|313:244|288:200
9.3|310:277|288:200
9.4|312:299|288:200
9.5|312:330|288:200
9.6|311:348|288:200
9.7|313:365|288:200
9.8|314:375|288:200
9.9|318:396|288:200
10|321:405|288:200
10.1|327:425|288:200
10.2|329:436|288:200
10.3|334:440|288:200
10.4|334:434|288:200
10.5|335:417|288:200
10.6|336:400|288:200
10.7|338:380|288:200
10.8|334:345|288:200
10.9|326:308|288:200
11|319:285|288:200
11.1|321:266|288:200
11.2|318:244|288:200
11.3|304:220|288:200
11.4|290:202|288:200
11.5|282:191|288:200
11.6|267:180|288:200
11.7|257:181|288:200
11.8|250:185|288:200
11.9|244:190|288:200
12|234:207|288:200
12.1|228:227|288:200
12.2|225:241|288:200
12.3|225:258|288:200
12.4|225:276|288:200
12.5|228:303|288:200
12.6|232:329|288:200
12.7|235:344|288:200
12.8|238:363|288:200
12.9|242:383|288:200
13|245:397|288:200
13.1|248:409|288:200
13.2|260:434|288:200
13.3|267:450|288:200
13.4|268:451|288:200
13.5|261:437|288:200
13.6|259:428|288:200
13.7|250:399|288:200
13.8|239:363|288:200
13.9|239:363|288:200
14|239:363|288:200
14.1|239:363|288:200
14.2|239:363|288:200
14.3|239:363|288:200
14.4|239:363|288:200
14.5|239:363|288:200
14.6|239:363|288:200
14.7|239:363|288:200
14.8|239:363|288:200
14.9|239:363|288:200
15|239:363|288:200
15.1|239:363|288:200
15.2|239:363|288:200
15.3|217:345|288:200
15.4|223:372|288:200
15.5|225:383|288:200
15.6|225:380|288:200
15.7|223:373|288:200
15.8|220:359|288:200
15.9|217:335|288:200
16|215:324|288:200
16.1|215:324|288:200
16.2|215:324|288:200
16.3|215:324|288:200
16.4|215:324|288:200
16.5|215:324|288:200
16.6|215:324|288:200
16.7|215:324|288:200
16.8|215:324|288:200
16.9|215:324|288:200
17|215:324|288:200
17.1|215:324|288:200
17.2|219:313|288:200
17.3|222:320|288:200
17.4|221:320|288:200
17.5|220:312|288:200
17.6|217:295|288:200
17.7|214:278|288:200
17.8|210:256|288:200
17.9|207:236|288:200
18|202:230|288:200
18.1|197:225|288:200
18.2|191:218|288:200
18.3|179:205|288:200
18.4|175:200|288:200
18.5|168:175|288:200
18.6|164:161|288:200
18.7|164:150|288:200
18.8|163:148|288:200
18.9|165:149|288:200
19|168:163|288:200
19.1|173:183|288:200
19.2|175:199|288:200
19.3|179:216|288:200
19.4|183:234|288:200
19.5|190:264|288:200
19.6|198:289|288:200
19.7|202:306|288:200
19.8|206:321|288:200
19.9|215:347|288:200
20|222:365|288:200
20.1|226:372|288:200
20.2|227:381|288:200
20.3|231:387|288:200
20.4|229:388|288:200
20.5|232:386|288:200
20.6|231:379|288:200
