01:38:31
200
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
0|302:293|383:236
0.1|298:293|383:236
0.2|300:302|383:236
0.3|298:319|383:236
0.4|300:336|383:236
0.5|304:362|383:236
0.6|300:368|383:236
0.7|298:368|383:236
0.8|300:361|383:236
0.9|294:324|383:236
1|288:297|383:236
1.1|278:250|383:236
1.2|268:219|383:236
1.3|264:184|383:236
1.4|270:163|383:236
1.5|285:144|383:236
1.6|300:114|383:236
1.7|299:115|383:236
1.8|298:115|383:236
1.9|303:125|383:236
2|294:139|383:236
2.1|292:175|383:236
2.2|279:200|383:236
2.3|285:229|383:236
2.4|289:269|383:236
2.5|289:303|383:236
2.6|291:324|383:236
2.7|296:350|383:236
2.8|293:364|383:236
2.9|295:379|383:236
3|291:381|383:236
3.1|289:372|383:236
3.2|287:343|383:236
3.3|282:316|383:236
3.4|278:282|383:236
3.5|275:239|383:236
3.6|279:206|383:236
3.7|273:195|383:236
3.8|269:164|383:236
3.9|292:134|383:236
4|298:109|383:236
4.1|297:104|383:236
4.2|298:108|383:236
4.3|300:122|383:236
4.4|288:149|383:236
4.5|277:182|383:236
4.6|284:205|383:236
4.7|285:235|383:236
4.8|290:283|383:236
4.9|296:327|383:236
5|301:353|383:236
5.1|300:373|383:236
5.2|305:394|383:236
5.3|303:406|383:236
5.4|304:409|383:236
5.5|304:401|383:236
5.6|300:388|383:236
5.7|295:357|383:236
5.8|292:326|383:236
5.9|278:273|383:236
6|279:244|383:236
6.1|268:204|383:236
6.2|276:176|383:236
6.3|278:141|383:236
6.4|287:118|383:236
6.5|288:115|383:236
6.6|287:125|383:236
6.7|289:138|383:236
6.8|285:154|383:236
6.9|255:186|383:236
7|276:217|383:236
7.1|268:243|383:236
7.2|270:285|383:236
7.3|281:327|383:236
7.4|278:347|383:236
7.5|281:378|383:236
7.6|281:394|383:236
7.7|285:408|383:236
7.8|284:417|383:236
7.9|284:412|383:236
8|283:402|383:236
8.1|278:377|383:236
8.2|270:351|383:236
8.3|265:310|383:236
8.4|261:279|383:236
8.5|259:230|383:236
8.6|259:182|383:236
8.7|259:159|383:236
8.8|266:141|383:236
8.9|263:127|383:236
9|268:111|383:236
9.1|266:110|383:236
9.2|277:127|383:236
9.3|295:149|383:236
9.4|295:149|383:236
9.5|295:149|383:236
9.6|295:149|383:236
9.7|295:149|383:236
9.8|295:149|383:236
9.9|295:149|383:236
10|295:149|383:236
10.1|295:149|383:236
10.2|295:149|383:236
10.3|295:149|383:236
10.4|295:149|383:236
10.5|295:149|383:236
10.6|295:149|383:236
10.7|295:149|383:236
10.8|288:161|383:236
10.9|274:135|383:236
11|288:124|383:236
11.1|292:118|383:236
11.2|296:124|383:236
11.3|281:130|383:236
11.4|281:130|383:236
11.5|281:130|383:236
11.6|281:130|383:236
11.7|281:130|383:236
11.8|281:130|383:236
11.9|281:130|383:236
12|281:130|383:236
12.1|281:130|383:236
12.2|281:130|383:236
12.3|288:157|383:236
12.4|291:142|383:236
12.5|291:137|383:236
12.6|300:134|383:236
12.7|311:146|383:236
12.8|311:146|383:236
12.9|311:146|383:236
13|311:146|383:236
13.1|311:146|383:236
13.2|311:146|383:236
13.3|311:146|383:236
13.4|311:146|383:236
13.5|311:146|383:236
13.6|311:146|383:236
13.7|291:197|383:236
13.8|282:156|383:236
13.9|281:146|383:236
14|284:142|383:236
14.1|290:140|383:236
14.2|285:147|383:236
14.3|295:186|383:236
14.4|303:215|383:236
14.5|306:244|383:236
14.6|308:279|383:236
14.7|314:312|383:236
14.8|316:336|383:236
14.9|320:367|383:236
15|320:378|383:236
15.1|318:381|383:236
15.2|317:372|383:236
15.3|315:351|383:236
15.4|313:338|383:236
15.5|301:282|383:236
15.6|293:248|383:236
15.7|291:199|383:236
15.8|288:148|383:236
15.9|288:122|383:236
16|310:111|383:236
16.1|304:110|383:236
16.2|307:122|383:236
16.3|307:122|383:236
16.4|283:184|383:236
16.5|302:238|383:236
16.6|303:272|383:236
16.7|305:304|383:236
16.8|310:346|383:236
16.9|313:379|383:236
17|316:397|383:236
17.1|318:411|383:236
17.2|320:407|383:236
17.3|317:394|383:236
17.4|314:368|383:236
17.5|310:344|383:236
17.6|298:305|383:236
17.7|283:248|383:236
17.8|270:190|383:236
17.9|263:161|383:236
18|256:125|383:236
18.1|222:99|383:236
18.2|282:118|383:236
18.3|286:122|383:236
18.4|286:122|383:236
18.5|286:122|383:236
18.6|286:122|383:236
18.7|286:122|383:236
18.8|286:122|383:236
18.9|286:122|383:236
19|286:122|383:236
19.1|286:122|383:236
19.2|286:122|383:236
19.3|286:122|383:236
19.4|286:122|383:236
19.5|264:168|383:236
19.6|259:145|383:236
19.7|264:138|383:236
19.8|288:153|383:236
19.9|288:153|383:236
20|288:153|383:236
