20:37:41
100
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
2.62|128:128|238:245
2.63|128:128|238:245
2.64|128:128|238:245
2.65|128:127|238:245
2.66|128:127|237:243
2.67|128:127|237:243
2.68|126:126|237:243
2.69|126:126|236:241
2.7|126:126|236:241
2.71|126:126|236:241
2.72|126:126|236:241
2.73|126:125|236:241
2.74|126:125|235:240
2.75|126:125|235:240
2.76|124:124|235:240
2.77|124:124|234:237
2.78|124:124|234:237
2.79|124:124|234:237
2.8|124:124|234:237
2.81|124:124|234:237
2.82|123:123|234:237
2.83|123:123|231:235
2.84|123:123|231:235
2.85|121:122|231:235
2.86|121:122|228:234
2.87|121:122|228:234
2.88|121:122|228:234
2.89|121:122|228:234
2.9|121:122|228:234
2.91|122:121|228:234
2.92|122:121|224:235
2.93|122:121|224:235
2.94|118:120|224:235
2.95|118:120|220:233
2.96|118:120|220:233
2.97|116:118|220:233
2.98|116:118|217:231
2.99|116:118|217:231
3|118:117|213:231
3.01|118:117|213:231
3.02|118:117|213:231
3.03|118:117|213:231
3.04|118:117|213:231
3.05|115:117|213:231
3.06|115:117|211:227
3.07|115:117|211:227
3.08|112:118|211:227
3.09|112:118|206:228
3.1|112:118|206:228
3.11|112:118|206:228
3.12|112:118|206:228
3.13|112:118|206:228
3.14|109:119|206:228
3.15|109:119|203:228
3.16|109:119|203:228
3.17|111:119|203:228
3.18|111:119|200:228
3.19|111:119|200:228
3.2|107:121|200:228
3.21|107:121|196:229
3.22|107:121|196:229
3.23|107:121|196:229
3.24|107:121|196:229
3.25|107:121|196:229
3.26|103:124|196:229
3.27|103:124|195:228
3.28|103:124|195:228
3.29|100:127|195:228
3.3|100:127|189:234
3.31|100:127|189:234
3.32|99:131|189:234
3.33|99:131|187:236
3.34|99:131|187:236
3.35|99:131|187:236
3.36|99:131|187:236
3.37|96:135|187:236
3.38|96:135|185:238
3.39|96:135|185:238
3.4|98:137|185:238
3.41|98:137|182:242
3.42|98:137|182:242
3.43|98:137|182:242
3.44|98:137|182:242
3.45|98:137|182:242
3.46|92:142|182:242
3.47|92:142|180:246
3.48|92:142|180:246
3.49|92:146|180:246
3.5|92:146|179:249
3.51|92:146|179:249
3.52|92:146|179:249
3.53|92:146|179:249
3.54|92:146|179:249
3.55|94:149|179:249
3.56|94:149|175:257
3.57|94:149|175:257
3.58|95:153|175:257
3.59|95:153|175:260
3.6|95:153|175:260
3.61|89:157|175:260
3.62|89:157|174:264
3.63|89:157|174:264
3.64|88:159|174:264
3.65|88:159|171:268
3.66|88:159|171:268
3.67|88:159|171:268
3.68|88:159|171:268
3.69|87:161|171:268
3.7|87:161|169:272
3.71|87:161|169:272
3.72|89:164|169:272
3.73|89:164|167:275
3.74|89:164|167:275
3.75|89:164|167:275
3.76|89:164|167:275
3.77|89:164|167:275
3.78|88:165|167:275
3.79|88:165|165:279
3.8|88:165|165:279
3.81|86:168|165:279
3.82|86:168|164:283
3.83|86:168|164:283
3.84|86:172|164:283
3.85|86:172|162:289
3.86|86:172|162:289
3.87|85:173|162:289
3.88|85:173|162:289
3.89|85:173|162:289
3.9|84:175|162:289
3.91|84:175|162:292
3.92|84:175|162:292
3.93|84:181|162:292
3.94|84:181|162:297
3.95|84:181|162:297
3.96|83:184|162:297
3.97|83:184|161:302
3.98|81:184|161:302
3.99|81:184|161:302
4|81:184|161:302
4.01|82:187|161:302
4.02|82:187|162:303
4.03|82:187|162:303
4.04|83:188|162:303
4.05|83:188|160:308
4.06|83:188|160:308
4.07|83:188|160:308
4.08|83:188|160:308
4.09|83:188|160:308
4.1|80:189|160:308
4.11|80:189|159:310
4.12|80:189|159:310
4.13|72:193|159:310
4.14|72:193|159:311
4.15|72:193|159:311
4.16|72:193|159:311
4.17|72:193|159:310
4.18|72:193|159:310
4.19|76:193|159:310
4.2|76:193|157:313
4.21|76:193|157:313
4.22|77:191|157:313
4.23|77:191|155:317
4.24|77:191|155:317
4.25|71:196|155:317
4.26|71:196|155:314
4.27|71:196|155:314
4.28|74:196|155:314
4.29|74:196|152:315
4.3|74:196|152:315
4.31|74:196|152:315
4.32|74:196|152:315
4.33|74:197|152:315
4.34|74:197|150:317
4.35|74:197|150:317
4.36|68:198|150:317
4.37|68:198|148:314
4.38|68:198|148:314
4.39|68:198|148:314
4.4|68:198|148:314
4.41|68:198|148:314
4.42|72:198|148:314
4.43|72:198|145:316
4.44|72:198|145:316
4.45|71:197|145:316
4.46|71:197|144:316
4.47|71:197|144:316
4.48|69:198|144:316
4.49|69:198|144:316
4.5|69:198|144:316
4.51|70:198|144:316
4.52|70:198|141:316
4.53|70:198|141:316
4.54|62:198|141:316
4.55|62:198|140:315
4.56|62:198|140:315
4.57|68:199|140:315
4.58|68:199|137:316
4.59|66:201|137:316
4.6|66:201|135:317
4.61|66:201|135:317
4.62|66:201|135:317
4.63|66:201|135:317
4.64|66:201|135:317
4.65|54:203|135:317
4.66|54:203|132:317
4.67|54:203|132:317
4.68|59:203|132:317
4.69|59:203|128:317
4.7|59:203|128:317
4.71|59:203|128:317
4.72|59:203|128:317
4.73|59:203|128:317
4.74|50:205|128:317
4.75|50:205|126:315
4.76|48:206|126:315
4.77|48:206|122:313
4.78|48:206|122:313
4.79|48:206|122:313
4.8|48:206|122:313
4.81|48:206|122:313
4.82|53:204|122:313
4.83|53:204|117:316
4.84|53:204|117:316
4.85|48:205|117:316
4.86|48:205|113:314
4.87|48:205|113:314
4.88|47:202|113:314
4.89|47:202|110:314
4.9|47:202|110:314
4.91|47:202|110:314
4.92|47:202|110:314
4.93|47:202|110:314
4.94|42:204|110:314
4.95|42:204|106:314
4.96|42:208|106:314
4.97|42:208|105:314
4.98|42:208|105:314
4.99|38:205|105:314
5|38:205|102:316
5.01|38:205|102:316
5.02|38:205|102:316
5.03|38:205|102:316
5.04|38:205|102:316
5.05|38:208|102:316
5.06|38:208|102:314
5.07|38:208|102:314
5.08|43:207|102:314
5.09|43:207|102:314
5.1|43:207|102:314
