02:17:33
100
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
0|363:184|205:209
0.1|362:182|205:209
0.2|363:183|205:209
0.3|358:190|205:209
0.4|352:203|205:209
0.5|349:226|205:209
0.6|348:230|205:209
0.7|351:246|205:209
0.8|354:277|205:209
0.9|351:298|205:209
1|352:321|205:209
1.1|353:344|205:209
1.2|353:358|205:209
1.3|354:375|205:209
1.4|355:380|205:209
1.5|355:395|205:209
1.6|355:405|205:209
1.7|356:406|205:209
1.8|354:395|205:209
1.9|348:374|205:209
2|349:366|205:209
2.1|346:336|205:209
2.2|326:303|205:209
2.3|330:278|205:209
2.4|322:240|205:209
2.5|316:219|205:209
2.6|309:184|205:209
2.7|302:156|205:209
2.8|302:142|205:209
2.9|300:129|205:209
3|293:116|205:209
3.1|288:102|205:209
3.2|282:105|205:209
3.3|272:119|205:209
3.4|254:148|205:209
3.5|240:165|205:209
3.6|231:167|205:209
3.7|213:174|205:209
3.8|199:177|205:209
3.9|183:180|205:209
4|168:183|205:209
4.1|170:189|205:209
4.2|169:212|205:209
4.3|164:253|205:209
4.4|153:281|205:209
4.5|168:320|205:209
4.6|165:329|205:209
4.7|172:355|205:209
4.8|172:375|205:209
4.9|173:387|205:209
5|174:399|205:209
5.1|173:404|205:209
5.2|167:404|205:209
5.3|164:398|205:209
5.4|146:380|205:209
5.5|119:356|205:209
5.6|116:348|205:209
5.7|99:335|205:209
5.8|94:326|205:209
5.9|89:318|205:209
6|85:307|205:209
6.1|87:298|205:209
6.2|77:281|205:209
6.3|77:281|205:209
6.4|77:281|205:209
6.5|77:281|205:209
6.6|77:281|205:209
6.7|77:281|205:209
6.8|77:281|205:209
6.9|77:281|205:209
7|77:281|205:209
7.1|77:281|205:209
7.2|77:281|205:209
7.3|102:267|205:209
7.4|111:296|205:209
7.5|109:305|205:209
7.6|110:309|205:209
7.7|114:306|205:209
7.8|109:289|205:209
7.9|112:280|205:209
8|103:265|205:209
8.1|97:258|205:209
8.2|97:250|205:209
8.3|94:244|205:209
8.4|97:236|205:209
8.5|103:236|205:209
8.6|99:234|205:209
8.7|97:229|205:209
8.8|91:222|205:209
8.9|92:219|205:209
9|92:219|205:209
9.1|90:215|205:209
9.2|91:211|205:209
9.3|94:198|205:209
9.4|101:177|205:209
9.5|103:164|205:209
9.6|99:143|205:209
9.7|94:131|205:209
9.8|96:124|205:209
9.9|96:121|205:209
10|97:122|205:209
