22:22:11
100
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
0|79:359|157:414
0.01|79:359|157:414
0.02|80:359|157:413
0.03|80:359|157:413
0.04|80:359|157:413
0.05|81:359|158:413
0.06|81:359|158:413
0.07|80:359|158:413
0.08|80:359|158:413
0.09|80:359|158:413
0.1|80:359|158:413
0.11|80:359|158:413
0.12|80:359|158:414
0.13|80:359|158:414
0.14|81:359|158:414
0.15|81:359|158:414
0.16|81:360|159:414
0.17|81:360|159:414
0.18|81:360|159:414
0.19|81:360|159:414
0.2|81:361|160:413
0.21|81:361|160:413
0.22|83:361|160:415
0.23|83:361|160:415
0.24|84:361|161:415
0.25|84:361|161:415
0.26|84:361|162:416
0.27|84:361|162:416
0.28|84:361|162:416
0.29|85:360|162:415
0.3|85:360|162:415
0.31|82:359|160:413
0.32|82:359|160:413
0.33|82:359|160:413
0.34|82:359|160:413
0.35|80:358|158:413
0.36|80:358|158:413
0.37|82:357|159:411
0.38|82:357|159:411
0.39|83:356|159:410
0.4|83:356|159:410
0.41|83:354|160:408
0.42|83:354|160:408
0.43|83:354|160:408
0.44|83:354|160:408
0.45|88:358|167:409
0.46|88:358|167:409
0.47|88:358|167:409
0.48|88:358|167:409
0.49|89:358|169:410
0.5|89:358|169:410
0.51|91:356|170:409
0.52|91:356|170:409
0.53|93:354|171:407
0.54|93:354|171:407
0.55|96:353|173:405
0.56|96:353|173:405
0.57|96:353|173:405
0.58|96:353|173:405
0.59|97:348|174:404
0.6|97:348|174:404
0.61|97:348|174:404
0.62|97:348|174:404
0.63|96:343|172:401
0.64|96:343|172:401
0.65|89:339|171:398
0.66|89:339|171:398
0.67|79:342|170:396
0.68|79:342|170:396
0.69|85:333|171:394
0.7|85:333|171:394
0.71|85:333|171:394
0.72|85:333|171:394
0.73|90:312|173:391
0.74|90:312|173:391
0.75|90:312|173:391
0.76|90:312|173:391
0.77|92:302|172:389
0.78|92:302|172:389
0.79|92:292|172:388
0.8|92:292|172:388
0.81|90:283|173:384
0.82|90:283|173:384
0.83|89:272|174:382
0.84|89:272|174:382
0.85|89:272|174:382
0.86|89:272|174:382
0.87|88:262|175:379
0.88|88:262|175:379
0.89|88:262|175:379
0.9|88:262|175:379
0.91|88:262|175:379
0.92|86:243|177:373
0.93|86:243|177:373
0.94|88:233|177:370
0.95|88:233|177:370
0.96|89:225|178:366
0.97|89:225|178:366
0.98|90:216|179:362
0.99|90:216|179:362
1|90:216|179:362
1.01|90:216|179:362
1.02|90:216|179:362
1.03|91:208|180:358
1.04|91:208|180:358
1.05|95:199|181:354
1.06|95:199|181:354
1.07|95:199|181:354
1.08|96:190|182:350
1.09|96:190|182:350
1.1|101:178|181:345
1.11|101:178|181:345
1.12|110:166|181:342
1.13|110:166|181:342
1.14|114:156|180:339
1.15|114:156|180:339
1.16|114:156|180:339
1.17|114:156|180:339
1.18|122:140|179:336
1.19|122:140|179:336
1.2|127:137|179:336
1.21|127:137|179:336
1.22|127:137|179:336
1.23|130:133|178:335
1.24|130:133|178:335
1.25|132:130|179:334
1.26|132:130|179:334
1.27|132:130|179:334
1.28|133:129|180:331
1.29|133:129|180:331
1.3|132:129|178:329
1.31|132:129|178:329
1.32|132:129|178:329
1.33|132:129|178:329
1.34|132:129|178:329
1.35|133:130|179:318
1.36|133:130|179:318
1.37|133:130|179:318
1.38|133:130|179:318
1.39|134:131|176:309
1.4|134:131|176:309
1.41|134:132|174:298
1.42|134:132|174:298
1.43|134:132|174:298
1.44|133:135|171:286
1.45|133:135|171:286
1.46|134:134|171:274
1.47|134:134|171:274
1.48|134:134|171:274
1.49|134:134|171:274
1.5|134:136|171:246
1.51|134:136|171:246
1.52|134:136|171:246
1.53|134:136|171:246
1.54|135:138|170:238
1.55|135:138|170:238
1.56|134:141|172:229
1.57|134:141|172:229
1.58|137:141|172:223
1.59|137:141|172:223
1.6|136:143|174:218
1.61|136:143|174:218
1.62|136:143|174:218
1.63|136:143|174:218
1.64|136:143|174:218
1.65|135:145|175:215
1.66|135:145|175:215
1.67|134:146|176:211
1.68|134:146|176:211
1.69|134:146|176:211
1.7|132:148|177:208
1.71|132:148|177:208
1.72|133:149|177:204
1.73|133:149|177:204
1.74|133:149|177:204
1.75|130:152|176:202
1.76|130:152|176:202
1.77|129:154|179:201
1.78|129:154|179:201
1.79|129:154|179:201
1.8|129:154|179:201
1.81|129:154|179:201
1.82|122:166|181:210
1.83|122:166|181:210
1.84|122:166|181:210
1.85|122:166|181:210
1.86|121:172|183:218
1.87|121:172|183:218
1.88|119:179|182:227
1.89|119:179|182:227
1.9|119:179|182:227
1.91|116:188|181:238
1.92|116:188|181:238
1.93|116:195|180:248
1.94|116:195|180:248
1.95|116:195|180:248
1.96|116:195|180:248
1.97|110:213|179:266
1.98|110:213|179:266
1.99|110:213|179:266
2|110:213|179:266
2.01|109:222|178:275
2.02|109:222|178:275
2.03|107:232|178:285
2.04|107:232|178:285
2.05|107:232|178:285
2.06|106:241|177:294
2.07|106:241|177:294
2.08|104:251|176:302
2.09|104:251|176:302
2.1|104:251|176:302
2.11|104:251|176:302
2.12|103:268|174:321
2.13|103:268|174:321
2.14|103:268|174:321
2.15|103:268|174:321
2.16|103:268|174:321
2.17|103:276|172:333
2.18|103:276|172:333
2.19|103:283|170:342
2.2|103:283|170:342
2.21|103:283|170:342
2.22|102:291|168:352
2.23|102:291|168:352
2.24|103:299|166:361
2.25|103:299|166:361
2.26|103:299|166:361
2.27|103:299|166:361
2.28|102:312|160:379
2.29|102:312|160:379
2.3|102:312|160:379
2.31|102:312|160:379
2.32|101:321|158:388
2.33|101:321|158:388
2.34|100:330|157:396
2.35|100:330|157:396
2.36|100:330|157:396
2.37|98:340|155:404
2.38|98:340|155:404
2.39|97:349|155:412
2.4|97:349|155:412
2.41|97:349|155:412
2.42|97:349|155:412
2.43|94:364|155:427
2.44|94:364|155:427
2.45|94:364|155:427
2.46|94:364|155:427
2.47|94:369|156:432
2.48|94:369|156:432
2.49|94:374|156:435
2.5|94:374|156:435
2.51|95:377|158:438
2.52|95:377|158:438
2.53|97:378|159:440
2.54|97:378|159:440
2.55|97:378|159:440
2.56|97:378|159:440
