18:32:02
600
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
0|72:273|288:200
0.1|74:275|288:200
0.2|72:274|288:200
0.3|75:274|288:200
0.4|75:277|288:200
0.5|77:290|288:200
0.6|81:296|288:200
0.7|87:319|288:200
0.8|94:336|288:200
0.9|97:358|288:200
1|101:380|288:200
1.1|107:393|288:200
1.2|112:409|288:200
1.3|108:415|288:200
1.4|112:423|288:200
1.5|112:422|288:200
1.6|106:412|288:200
1.7|105:404|288:200
1.8|100:392|288:200
1.9|93:366|288:200
2|87:350|288:200
2.1|86:327|288:200
2.2|81:310|288:200
2.3|73:284|288:200
2.4|78:260|288:200
2.5|78:242|288:200
2.6|76:225|288:200
2.7|74:203|288:200
2.8|74:186|288:200
2.9|69:178|288:200
3|69:173|288:200
3.1|69:167|288:200
3.2|73:161|288:200
3.3|73:169|288:200
3.4|74:182|288:200
3.5|82:205|288:200
3.6|80:215|288:200
3.7|80:215|288:200
3.8|80:215|288:200
3.9|80:215|288:200
4|80:215|288:200
4.1|80:215|288:200
4.2|80:215|288:200
4.3|80:215|288:200
4.4|80:215|288:200
4.5|80:215|288:200
4.6|80:215|288:200
4.7|80:215|288:200
4.8|80:215|288:200
4.9|102:240|288:200
5|88:223|288:200
5.1|90:207|288:200
5.2|88:192|288:200
5.3|80:184|288:200
5.4|83:188|288:200
5.5|93:207|288:200
5.6|98:225|288:200
5.7|112:251|288:200
5.8|114:271|288:200
5.9|124:300|288:200
6|133:328|288:200
6.1|139:344|288:200
6.2|144:359|288:200
6.3|154:373|288:200
6.4|159:376|288:200
6.5|167:376|288:200
6.6|179:378|288:200
6.7|199:384|288:200
6.8|213:389|288:200
6.9|240:399|288:200
7|259:407|288:200
7.1|279:416|288:200
7.2|310:426|288:200
7.3|326:428|288:200
7.4|344:430|288:200
7.5|368:437|288:200
7.6|393:445|288:200
7.7|409:446|288:200
7.8|426:447|288:200
7.9|454:451|288:200
8|464:451|288:200
8.1|490:449|288:200
8.2|507:449|288:200
8.3|518:456|288:200
8.4|532:460|288:200
8.5|569:460|288:200
8.6|570:460|288:200
8.7|566:460|288:200
8.8|535:460|288:200
8.9|535:460|288:200
9|530:447|288:200
9.1|517:430|288:200
9.2|513:418|288:200
9.3|506:405|288:200
9.4|494:376|288:200
9.5|485:349|288:200
9.6|493:336|288:200
9.7|510:323|288:200
9.8|522:313|288:200
9.9|528:300|288:200
10|536:288|288:200
10.1|541:280|288:200
10.2|537:259|288:200
10.3|537:248|288:200
10.4|529:237|288:200
10.5|525:225|288:200
10.6|512:209|288:200
10.7|508:199|288:200
10.8|501:190|288:200
10.9|490:170|288:200
11|492:162|288:200
11.1|487:154|288:200
11.2|480:147|288:200
11.3|480:144|288:200
11.4|474:140|288:200
11.5|475:137|288:200
11.6|469:130|288:200
11.7|464:123|288:200
11.8|460:121|288:200
11.9|451:117|288:200
12|443:115|288:200
12.1|425:115|288:200
12.2|406:115|288:200
12.3|391:111|288:200
12.4|378:110|288:200
12.5|360:110|288:200
12.6|339:114|288:200
12.7|322:119|288:200
12.8|310:120|288:200
12.9|298:121|288:200
13|281:121|288:200
13.1|261:123|288:200
13.2|254:123|288:200
13.3|234:124|288:200
13.4|226:125|288:200
13.5|217:125|288:200
13.6|205:126|288:200
13.7|199:132|288:200
13.8|186:143|288:200
13.9|175:158|288:200
14|171:167|288:200
14.1|166:181|288:200
14.2|163:191|288:200
14.3|158:205|288:200
14.4|155:212|288:200
14.5|153:223|288:200
14.6|149:234|288:200
14.7|145:242|288:200
14.8|141:250|288:200
14.9|139:257|288:200
15|136:265|288:200
15.1|135:278|288:200
15.2|137:291|288:200
15.3|138:311|288:200
15.4|136:322|288:200
15.5|140:330|288:200
15.6|139:341|288:200
15.7|138:354|288:200
15.8|137:360|288:200
15.9|135:367|288:200
16|136:369|288:200
16.1|130:376|288:200
16.2|125:384|288:200
16.3|120:389|288:200
16.4|113:391|288:200
16.5|106:391|288:200
16.6|97:390|288:200
16.7|96:391|288:200
16.8|92:391|288:200
16.9|87:389|288:200
17|84:389|288:200
17.1|80:393|288:200
17.2|80:395|288:200
17.3|77:402|288:200
17.4|72:407|288:200
17.5|70:408|288:200
17.6|65:409|288:200
17.7|62:411|288:200
17.8|65:412|288:200
17.9|54:410|288:200
18|65:410|288:200
18.1|71:408|288:200
18.2|78:407|288:200
18.3|86:406|288:200
18.4|87:406|288:200
18.5|103:411|288:200
18.6|114:416|288:200
18.7|121:418|288:200
18.8|132:422|288:200
18.9|147:426|288:200
19|153:432|288:200
19.1|157:434|288:200
19.2|173:433|288:200
19.3|188:429|288:200
19.4|203:427|288:200
19.5|227:424|288:200
19.6|230:422|288:200
19.7|253:419|288:200
19.8|274:419|288:200
19.9|288:418|288:200
20|309:419|288:200
20.1|325:418|288:200
20.2|352:420|288:200
20.3|370:424|288:200
20.4|392:424|288:200
20.5|414:425|288:200
20.6|426:420|288:200
20.7|438:419|288:200
20.8|450:420|288:200
20.9|476:418|288:200
21|500:416|288:200
21.1|513:416|288:200
21.2|522:403|288:200
21.3|526:378|288:200
21.4|519:353|288:200
21.5|505:316|288:200
21.6|501:297|288:200
21.7|499:275|288:200
21.8|487:254|288:200
21.9|486:230|288:200
22|486:225|288:200
22.1|480:206|288:200
22.2|476:188|288:200
22.3|472:178|288:200
22.4|462:165|288:200
22.5|453:158|288:200
22.6|450:154|288:200
22.7|422:145|288:200
22.8|414:142|288:200
22.9|401:138|288:200
23|382:135|288:200
23.1|361:135|288:200
23.2|333:133|288:200
23.3|320:133|288:200
23.4|301:137|288:200
23.5|279:141|288:200
23.6|260:142|288:200
23.7|249:141|288:200
23.8|232:145|288:200
23.9|217:146|288:200
24|211:150|288:200
24.1|200:159|288:200
24.2|195:162|288:200
24.3|185:168|288:200
24.4|175:174|288:200
24.5|167:178|288:200
24.6|157:181|288:200
24.7|142:191|288:200
24.8|133:207|288:200
24.9|128:221|288:200
25|121:238|288:200
25.1|112:252|288:200
25.2|110:258|288:200
25.3|106:266|288:200
25.4|103:272|288:200
25.5|100:281|288:200
25.6|101:290|288:200
25.7|100:299|288:200
25.8|103:309|288:200
25.9|107:322|288:200
26|108:335|288:200
26.1|111:343|288:200
26.2|109:349|288:200
26.3|106:354|288:200
26.4|105:360|288:200
26.5|107:366|288:200
26.6|104:373|288:200
26.7|105:378|288:200
26.8|101:388|288:200
26.9|99:391|288:200
27|95:395|288:200
27.1|96:400|288:200
27.2|96:401|288:200
27.3|92:402|288:200
27.4|91:407|288:200
27.5|87:407|288:200
27.6|87:407|288:200
27.7|84:408|288:200
27.8|84:412|288:200
27.9|83:417|288:200
28|86:423|288:200
28.1|88:427|288:200
28.2|96:429|288:200
28.3|98:432|288:200
28.4|96:428|288:200
28.5|100:423|288:200
28.6|96:418|288:200
28.7|103:420|288:200
28.8|99:425|288:200
28.9|104:427|288:200
29|103:426|288:200
29.1|106:430|288:200
29.2|96:435|288:200
29.3|99:435|288:200
29.4|101:432|288:200
29.5|90:433|288:200
29.6|91:441|288:200
29.7|89:443|288:200
29.8|91:445|288:200
29.9|90:444|288:200
30|86:436|288:200
30.1|91:416|288:200
30.2|91:406|288:200
30.3|90:379|288:200
30.4|89:361|288:200
30.5|85:332|288:200
30.6|85:306|288:200
30.7|88:290|288:200
30.8|87:278|288:200
30.9|97:254|288:200
31|94:227|288:200
31.1|99:212|288:200
31.2|100:189|288:200
31.3|108:172|288:200
31.4|119:164|288:200
31.5|127:160|288:200
31.6|140:155|288:200
31.7|172:146|288:200
31.8|202:147|288:200
31.9|218:149|288:200
32|237:149|288:200
32.1|266:141|288:200
32.2|281:130|288:200
32.3|314:123|288:200
32.4|336:119|288:200
32.5|359:111|288:200
32.6|367:110|288:200
32.7|394:110|288:200
32.8|414:119|288:200
32.9|439:127|288:200
33|460:122|288:200
33.1|469:119|288:200
33.2|478:116|288:200
33.3|492:122|288:200
33.4|505:144|288:200
33.5|510:162|288:200
33.6|517:192|288:200
33.7|516:217|288:200
33.8|515:224|288:200
33.9|509:242|288:200
34|508:254|288:200
34.1|508:271|288:200
34.2|503:290|288:200
34.3|499:303|288:200
34.4|495:315|288:200
34.5|498:331|288:200
34.6|496:348|288:200
34.7|495:359|288:200
34.8|485:373|288:200
34.9|476:389|288:200
35|474:395|288:200
35.1|453:410|288:200
35.2|438:418|288:200
35.3|415:430|288:200
35.4|396:444|288:200
35.5|388:447|288:200
35.6|374:455|288:200
35.7|345:460|288:200
35.8|328:460|288:200
35.9|315:460|288:200
36|294:460|288:200
36.1|283:460|288:200
36.2|268:460|288:200
36.3|255:454|288:200
36.4|241:453|288:200
36.5|224:450|288:200
36.6|212:444|288:200
36.7|194:436|288:200
36.8|178:428|288:200
36.9|170:425|288:200
37|162:420|288:200
37.1|145:406|288:200
37.2|130:390|288:200
37.3|126:382|288:200
37.4|123:377|288:200
37.5|120:368|288:200
37.6|114:358|288:200
37.7|112:334|288:200
37.8|111:322|288:200
