01:38:14
100
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
0|322:241|383:236
0.1|320:242|383:236
0.2|317:253|383:236
0.3|310:259|383:236
0.4|305:280|383:236
0.5|300:303|383:236
0.6|302:337|383:236
0.7|304:378|383:236
0.8|302:401|383:236
0.9|303:426|383:236
1|308:426|383:236
1.1|305:426|383:236
1.2|305:407|383:236
1.3|305:382|383:236
1.4|308:342|383:236
1.5|312:292|383:236
1.6|313:255|383:236
1.7|316:202|383:236
1.8|310:169|383:236
1.9|310:169|383:236
2|336:101|383:236
2.1|341:88|383:236
2.2|359:107|383:236
2.3|359:107|383:236
2.4|359:107|383:236
2.5|359:107|383:236
2.6|359:107|383:236
2.7|359:107|383:236
2.8|359:107|383:236
2.9|359:107|383:236
3|359:107|383:236
3.1|359:107|383:236
3.2|359:107|383:236
3.3|304:160|383:236
3.4|306:131|383:236
3.5|314:108|383:236
3.6|322:105|383:236
3.7|324:96|383:236
3.8|345:118|383:236
3.9|364:133|383:236
4|364:133|383:236
4.1|364:133|383:236
4.2|364:133|383:236
4.3|364:133|383:236
4.4|364:133|383:236
4.5|364:133|383:236
4.6|364:133|383:236
4.7|364:133|383:236
4.8|364:133|383:236
4.9|362:100|383:236
5|351:76|383:236
5.1|349:81|383:236
5.2|348:102|383:236
5.3|352:124|383:236
5.4|351:157|383:236
5.5|348:186|383:236
5.6|341:225|383:236
5.7|337:248|383:236
5.8|340:280|383:236
5.9|340:299|383:236
6|332:328|383:236
6.1|329:359|383:236
6.2|327:376|383:236
6.3|322:389|383:236
6.4|320:395|383:236
6.5|319:388|383:236
6.6|316:359|383:236
6.7|313:336|383:236
6.8|309:295|383:236
6.9|308:261|383:236
7|305:238|383:236
7.1|287:217|383:236
7.2|289:185|383:236
7.3|304:158|383:236
7.4|309:144|383:236
7.5|308:126|383:236
7.6|312:115|383:236
7.7|317:114|383:236
7.8|319:128|383:236
7.9|312:147|383:236
8|301:181|383:236
8.1|313:220|383:236
8.2|307:251|383:236
8.3|308:287|383:236
8.4|309:311|383:236
8.5|312:346|383:236
8.6|305:364|383:236
8.7|304:380|383:236
8.8|300:395|383:236
8.9|298:395|383:236
9|297:379|383:236
9.1|295:360|383:236
9.2|290:318|383:236
9.3|283:272|383:236
9.4|281:243|383:236
9.5|278:216|383:236
9.6|272:180|383:236
9.7|274:161|383:236
9.8|292:148|383:236
9.9|298:122|383:236
10|300:105|383:236
