14:31:57
400
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
0|125:310|286:309
0.1|124:309|286:309
0.2|126:308|287:309
0.3|126:308|287:308
0.4|127:308|288:309
0.5|125:309|287:308
0.6|126:308|288:309
0.7|126:307|288:308
0.8|125:307|288:308
0.9|126:306|288:307
1|126:308|289:308
1.1|126:308|289:308
1.2|129:307|291:309
1.3|130:310|294:311
1.4|127:313|293:312
1.5|129:313|293:315
1.6|129:313|292:314
1.7|128:313|292:312
1.8|131:310|294:312
1.9|132:310|295:311
2|132:310|297:311
2.1|133:310|297:311
2.2|132:308|298:311
2.3|132:308|298:310
2.4|132:307|297:309
2.5|132:307|298:310
2.6|135:305|297:308
2.7|134:305|300:308
2.8|134:304|300:307
2.9|136:306|302:309
3|137:308|303:309
3.1|138:307|304:309
3.2|139:308|305:308
3.3|142:308|307:309
3.4|144:310|307:309
3.5|146:310|307:310
3.6|146:310|309:311
3.7|145:310|308:310
3.8|144:311|307:310
3.9|146:310|307:310
4|145:311|308:311
4.1|144:311|307:310
4.2|144:311|308:311
4.3|145:310|308:310
4.4|146:308|310:309
4.5|147:306|311:307
4.6|148:306|312:306
4.7|149:305|312:307
4.8|148:306|313:307
4.9|147:306|312:306
5|148:306|313:308
5.1|148:305|312:308
5.2|148:306|313:308
5.3|149:306|313:309
5.4|148:307|312:309
5.5|147:306|313:309
5.6|145:306|311:309
5.7|146:306|310:308
5.8|147:306|310:309
5.9|145:307|309:309
6|144:307|311:310
6.1|147:306|312:309
6.2|154:305|316:308
6.3|161:302|321:307
6.4|161:303|328:306
6.5|164:303|333:307
6.6|167:302|334:306
6.7|171:302|339:306
6.8|172:300|341:305
6.9|172:301|341:305
7|175:299|342:304
7.1|175:299|342:305
7.2|175:300|344:304
7.3|175:301|344:304
7.4|177:301|344:304
7.5|178:301|345:306
7.6|178:302|345:306
7.7|173:305|344:307
7.8|174:305|341:307
7.9|171:306|341:307
8|175:303|341:308
8.1|172:304|339:308
8.2|173:304|339:309
8.3|171:304|338:309
8.4|170:305|338:309
8.5|170:304|337:309
8.6|170:305|336:309
8.7|170:305|336:309
8.8|172:303|336:309
8.9|170:305|336:310
9|169:306|337:310
9.1|169:303|337:308
9.2|170:300|337:307
9.3|169:299|336:305
9.4|169:296|334:302
9.5|168:294|334:302
9.6|166:292|333:301
9.7|166:290|332:301
9.8|168:289|330:301
9.9|174:285|328:301
10|174:288|328:300
10.1|173:291|328:299
10.2|168:294|328:300
10.3|159:300|330:300
10.4|154:300|338:301
10.5|148:301|345:300
10.6|141:300|361:298
10.7|134:301|368:300
10.8|131:303|368:303
10.9|131:311|369:305
11|122:311|375:306
11.1|116:310|377:307
11.2|108:311|385:309
11.3|120:307|385:313
11.4|120:298|379:319
11.5|114:301|384:317
11.6|110:299|385:318
11.7|110:297|385:314
11.8|111:296|386:310
11.9|109:295|384:305
12|106:293|385:304
12.1|106:289|384:301
12.2|101:284|386:297
12.3|102:281|387:294
12.4|101:277|390:291
12.5|95:270|387:291
12.6|92:267|380:292
12.7|92:266|375:293
12.8|93:261|370:293
12.9|97:257|368:295
13|99:248|366:294
13.1|97:249|367:294
13.2|99:250|369:295
13.3|98:249|371:295
13.4|97:250|372:296
13.5|98:249|370:295
13.6|98:250|370:295
13.7|98:249|370:295
13.8|97:249|370:295
13.9|97:250|370:295
14|97:249|370:295
14.1|98:250|370:294
14.2|98:251|371:295
14.3|98:251|371:295
14.4|100:251|371:295
14.5|102:252|372:295
14.6|104:250|372:295
14.7|103:253|372:295
14.8|103:251|371:294
14.9|102:252|372:295
15|103:251|371:294
15.1|102:253|371:294
15.2|103:251|372:294
15.3|104:251|372:295
15.4|104:251|372:294
15.5|103:251|372:295
15.6|104:251|372:294
15.7|104:250|372:295
15.8|104:247|371:294
15.9|103:250|372:293
16|106:251|372:292
16.1|113:256|372:292
16.2|134:264|376:284
16.3|143:263|375:271
16.4|159:260|368:264
16.5|173:261|363:265
16.6|185:257|361:263
16.7|187:257|358:265
16.8|187:258|357:267
16.9|192:260|353:268
17|195:271|345:269
17.1|192:277|345:269
17.2|189:275|346:264
17.3|178:269|347:253
17.4|176:268|341:258
17.5|178:270|337:260
17.6|172:260|336:260
17.7|176:265|347:257
17.8|178:265|353:253
17.9|175:263|356:250
18|172:259|357:245
18.1|168:245|360:241
18.2|167:240|366:235
18.3|168:234|370:227
18.4|172:214|376:218
18.5|162:182|380:204
18.6|164:154|389:183
18.7|151:147|383:182
18.8|113:157|354:195
18.9|56:138|307:181
19|33:96|294:143
19.1|33:96|307:93
19.2|33:96|313:81
19.3|33:96|315:74
19.4|33:96|302:34
19.5|33:96|295:34
19.6|33:96|295:34
19.7|33:96|295:34
19.8|33:96|295:34
19.9|33:96|295:34
20|33:96|295:34
20.1|33:96|295:34
20.2|33:96|295:34
20.3|33:96|295:34
20.4|33:96|295:34
20.5|33:96|295:34
20.6|33:96|295:34
20.7|33:96|295:34
20.8|33:96|295:34
20.9|33:96|295:34
21|33:96|295:34
21.1|33:96|295:34
21.2|33:96|295:34
21.3|33:96|295:34
21.4|33:96|295:34
21.5|33:96|295:34
21.6|33:96|295:34
21.7|33:96|295:34
21.8|33:96|295:34
21.9|33:96|295:34
22|33:96|295:34
22.1|33:96|295:34
22.2|33:96|295:34
22.3|33:96|295:34
22.4|33:96|295:34
22.5|33:96|295:34
22.6|33:96|295:34
22.7|33:96|295:34
22.8|33:96|295:34
22.9|33:96|295:34
23|33:96|295:34
23.1|33:96|295:34
23.2|33:96|295:34
23.3|33:96|295:34
23.4|33:96|295:34
23.5|33:96|295:34
23.6|33:96|295:34
23.7|33:96|295:34
23.8|33:96|295:34
23.9|33:96|295:34
24|33:96|295:34
24.1|33:96|295:34
24.2|33:96|295:34
24.3|33:96|295:34
24.4|33:96|295:34
24.5|33:96|295:34
24.6|33:96|295:34
24.7|33:96|295:34
24.8|33:96|295:34
24.9|33:96|295:34
25|33:96|295:34
25.1|33:96|295:34
25.2|33:96|295:34
25.3|33:96|295:34
25.4|33:96|295:34
25.5|33:96|295:34
25.6|33:96|295:34
25.7|33:96|295:34
25.8|33:96|295:34
25.9|33:96|295:34
26|33:96|295:34
26.1|33:96|295:34
26.2|33:96|295:34
26.3|33:96|295:34
26.4|33:96|295:34
26.5|33:96|295:34
26.6|33:96|295:34
26.7|33:96|295:34
26.8|33:96|295:34
26.9|33:96|295:34
27|33:96|295:34
27.1|33:96|295:34
27.2|33:96|295:34
27.3|33:96|295:34
